,Date,EURUSD=X,S&P,STD,Vol_global,Vol_local,return,Price_MA,Primary risk,FD,Energy,Correlation,STD_short,Price_LB,Price_UB,Price_LB_Price_UB_Distance,Distance_MA
156,2020-02-04,1.1062926054000854,3.297590087890625,,,,-0.002422820498873779,1.1115140208491572,,,,,0.006169290736645357,1.0991754393758664,1.1239759881371807,0.024800548761314323,0.019946352903047134
157,2020-02-05,1.1047282218933105,3.33468994140625,,,,-0.0014140775226542804,1.1110139378794917,,,,,0.0061518086638531816,1.0987103205517852,1.123440591380475,0.024730270828689838,0.020132694619975702
158,2020-02-06,1.1002310514450073,3.345780029296875,,,,-0.004070838744932089,1.110273246411924,,,,,0.006201360011210034,1.0978705263895039,1.1227999936345683,0.024929467245064396,0.02026099162433325
159,2020-02-07,1.0982975959777832,3.3277099609375,,,,-0.001757317669488408,1.1093923206682559,,,,,0.006150393391795524,1.0970915338846647,1.1218161153196828,0.0247245814350181,0.020330256695596433
160,2020-02-10,1.0949305295944214,3.352090087890625,,,,-0.0030657140611914137,1.108386688762241,,,,,0.006212691933994263,1.0959613048942525,1.1209363264689094,0.02497502157465692,0.02038048784972866
161,2020-02-11,1.0913456678390503,3.35775,,,,-0.003274054068707884,1.107431204230697,,,,,0.006752761326584647,1.0939256815775278,1.1210717821103982,0.027146100532870365,0.020529242984572045
162,2020-02-12,1.091941475868225,3.379449951171875,,,,0.0005459388777842965,1.106532887176231,,,,,0.007129789688222368,1.0922733077997862,1.1209350623464402,0.028661754546654095,0.02078389642862063
163,2020-02-13,1.0875948667526245,3.37393994140625,,,,-0.003980624613736288,1.1053401231765747,,,,,0.0074950565122497426,1.090350010152075,1.1204801373313191,0.030130127179244015,0.021125770682415494
164,2020-02-14,1.0845986604690552,3.380159912109375,,,,-0.0027548918951001526,1.1041965970286616,,,,,0.008185256538370605,1.0878260839519203,1.1207308152361701,0.032904731284249866,0.021631743165441933
165,2020-02-17,1.0841753482818604,3.006948492118021,,,,-0.0003902938502724638,1.103191199126067,,,,,0.008885604605342892,1.0854199899153811,1.1211401204288596,0.03572013051347844,0.02225579674744022
166,2020-02-18,1.0840108394622803,3.3702900390625,,,,-0.00015173635873641877,1.1021874833990026,,,,,0.009447156143088891,1.0832931711128249,1.1212707388080423,0.03797756769521743,0.022973834398036286
167,2020-02-19,1.079540491104126,3.38614990234375,,,,-0.004123896362855373,1.1009976157435664,,,,,0.010173525711000404,1.0806505643215656,1.1215481376797871,0.04089757335822153,0.02381351672619567
168,2020-02-20,1.081009864807129,3.37322998046875,,,,0.0013611103197251012,1.0997915621157046,,,,,0.010534960586540496,1.0787216409426237,1.1210721825005163,0.04235054155789264,0.024712107180666968
169,2020-02-21,1.078799843788147,3.33775,,,,-0.0020444041177887307,1.098521559326737,,,,,0.010915268107142932,1.0766910231124511,1.1205704009031656,0.04387937779071449,0.025704871531373956
170,2020-02-24,1.0839051008224487,3.225889892578125,,,,0.0047323486962835715,1.0973550655223705,,,,,0.010730483500167417,1.0758940985220358,1.1190306421927088,0.04313654367067299,0.02670547172284298
171,2020-02-25,1.0849199295043945,3.1282099609375,,,,0.0009362707871526447,1.0962795858029966,,,,,0.010464433275977058,1.0753507192510425,1.1174177410204702,0.04206702176942767,0.02768317174913309
172,2020-02-26,1.0881996154785156,3.116389892578125,,,,0.003022975138468787,1.0954921907848783,,,,,0.01024055051937362,1.075011089746131,1.116178102834013,0.041167013087882065,0.02861219657060144
173,2020-02-27,1.0885894298553467,2.978760009765625,,,,0.00035821955024275675,1.0947105707945648,,,,,0.0099274121573743,1.0748557464798163,1.114763943352461,0.039908196872644686,0.02949713140740148
174,2020-02-28,1.0997228622436523,2.954219970703125,,,,0.010227393434993293,1.0943832176702994,,,,,0.009605803022556397,1.0751716116251866,1.1137869397758633,0.0386153281506767,0.030317202278025507
175,2020-03-02,1.1051311492919922,3.09022998046875,,,,0.0049178636127522775,1.0942160774160314,,,,,0.00937530924563219,1.075465458924767,1.1131542020922085,0.03768874316744153,0.031092736653855483
176,2020-03-03,1.1144047975540161,3.0033701171875,,,,0.008391445909352148,1.0945450685642384,,,,,0.009907050972540996,1.0747309666191565,1.1145573115287712,0.039826344909614786,0.031910650414379474
177,2020-03-04,1.118067979812622,3.1301201171875,,,,0.003287119964528329,1.0951203328591805,,,,,0.010767888773019263,1.073584555313142,1.1168714681806795,0.0432869128675375,0.032793091616536
178,2020-03-05,1.113908290863037,3.02393994140625,,,,-0.0037204257922510997,1.0955622328652277,,,,,0.011273176522591244,1.073015879820045,1.118334049440862,0.04531816962081692,0.03368916726681518
179,2020-03-06,1.1223849058151245,2.9723701171875,0.010523982280133055,0.685604283082278,,0.007609796086103162,1.0963077368559662,0.2,1.6548045799661544,0.9131386210677002,0.369386770367591,0.012309167102470764,1.0716894026510246,1.1211722544029572,0.049482851751932566,0.03469749854512742
180,2020-03-09,1.1386020183563232,2.74656005859375,0.010556698383365233,0.6877356341150603,,0.01444879778512449,1.097675014425207,0.2,1.6415601805185536,0.9053604226789689,0.3589452015261506,0.014656981166801213,1.0683610520916045,1.1272821163821454,0.05892106429054089,0.03600689906628198
181,2020-03-10,1.1397960186004639,2.88222998046875,0.01070750606930795,0.6975602796391448,,0.0010486546000193064,1.0990410601651226,0.2,1.6304244981728844,0.8983253089681211,0.35424462902352394,0.016662990925219712,1.0657150783146832,1.1327003018340664,0.0669852235193833,0.03758214779807081
182,2020-03-11,1.1316505670547485,2.7413798828125,0.010734588005029239,0.699324582412604,,-0.007146411649794139,1.0998807306642886,0.2,1.6115533409182763,0.8873210864112456,0.3457513127339048,0.017682659446710457,1.0645154117708677,1.1355997027466438,0.07108429097577607,0.03930798144287534
