,Date,USDCHF=X,S&P,STD,Vol_global,Vol_local,return,Price_MA,Primary risk,FD,Energy,Correlation,STD_short,Price_LB,Price_UB,Price_LB_Price_UB_Distance,Distance_MA
91,2019-11-05,0.988290011882782,3.0746201171875,,,,0.0024851794031204165,0.9924900024025528,,,,,0.004116682704370094,0.9842566369938126,1.0008057014653804,0.016549064471567787,0.01590941539777408
92,2019-11-06,0.9923999905586243,3.076780029296875,,,,0.0041586767309450025,0.9925455583466424,,,,,0.004104954828090007,0.9843356486904624,1.000837567099384,0.01650191840892168,0.015724275351190097
93,2019-11-07,0.9924700260162354,3.085179931640625,,,,7.05718039876853e-05,0.9923555586073134,,,,,0.003983536012184813,0.9843884865829438,1.0004023013519268,0.016013814768983003,0.015488454778661778
94,2019-11-08,0.9945999979972839,3.093080078125,,,,0.0021461323014441754,0.9924266691561099,,,,,0.004005768079868323,0.9844151329963733,1.000518320677444,0.016103187681070663,0.015387712323597537
95,2019-11-11,0.9971699714660645,3.087010009765625,,,,0.002583926678016679,0.9924429632999279,,,,,0.004024092448525045,0.9843947784028778,1.0005716300459484,0.01617685164307059,0.015326358255143889
96,2019-11-12,0.9930099844932556,3.091840087890625,,,,-0.0041717932667915385,0.9922525926872536,,,,,0.003868162939377111,0.9845162668084995,1.0000662818247954,0.015550015016295937,0.015258184913859437
97,2019-11-13,0.9926599860191345,3.0940400390625,,,,-0.00035246219029680956,0.9922033327597158,,,,,0.003854167233092828,0.9844949982935302,0.9999887505705634,0.015493752277033201,0.015241367084505757
98,2019-11-14,0.9896699786186218,3.0966298828125,,,,-0.003012116376830626,0.9920148143061885,,,,,0.0038489836665682293,0.9843168469730521,0.9997897613126564,0.015472914339604293,0.0152357866998903
99,2019-11-15,0.9887700080871582,3.1204599609375,,,,-0.0009093642839603956,0.9918729618743614,,,,,0.003895102492083613,0.9840827568901941,0.9997410689083702,0.015658312018176135,0.015239472685593699
100,2019-11-18,0.9889860153198242,3.122030029296875,,,,0.00021846054279487713,0.9917287407097993,,,,,0.003927104298521963,0.9838745321127554,0.9996614913928137,0.015786959280058244,0.015247795614837443
101,2019-11-19,0.9890999794006348,3.120179931640625,,,,0.00011523325815046281,0.9914683699607849,,,,,0.0038591257195353724,0.9837501185217141,0.9992638039142464,0.015513685392532284,0.015250108943296432
102,2019-11-20,0.99031001329422,3.1084599609375,,,,0.0012233686369283413,0.9911909633212619,,,,,0.00365797738612763,0.9838750085490067,0.9985800776412397,0.014705069092233014,0.015299584445458717
103,2019-11-21,0.9903799891471863,3.1035400390625,,,,7.066055278340284e-05,0.9909228152698941,,,,,0.0034354659476889832,0.9840518833745161,0.9978624564842259,0.01381057310970979,0.01533275186684284
104,2019-11-22,0.9926999807357788,3.1102900390625,,,,0.0023425267210722507,0.990707258383433,,,,,0.0031201365630696932,0.9844669852572936,0.9970099342408337,0.012542948983540136,0.015318001497742605
105,2019-11-25,0.9976000189781189,3.133639892578125,,,,0.004936071660551692,0.9908324435905174,,,,,0.0033199695912801115,0.9841925044079571,0.9975387821649032,0.013346277756946079,0.015333411744133097
106,2019-11-26,0.9967399835586548,3.14052001953125,,,,-0.0008621044537920915,0.9911820733988727,,,,,0.003424960458152964,0.9843321524825668,0.9981004935243416,0.013768341041774823,0.015336244296075533
107,2019-11-27,0.9975900053977966,3.1536298828125,,,,0.000852801987642773,0.9916517028102169,,,,,0.0034020010072165043,0.9848477007957839,0.9985237448447942,0.01367604404901035,0.01528367154179697
108,2019-11-28,0.9984700083732605,3.006948492118021,,,,0.0008821289013545793,0.9921165174908109,,,,,0.0034442172773765673,0.9852280829360577,0.9990738363911116,0.0138457534550539,0.0152065023228236
109,2019-11-29,0.9983599781990051,3.14097998046875,,,,-0.00011019877746216514,0.9924505904868797,,,,,0.0035929434222320288,0.9852647036424156,0.9997083361997884,0.014443632557372799,0.015168131167352663
110,2019-12-02,1.0001100301742554,3.1138701171875,,,,0.0017529268134398339,0.9928213313773826,,,,,0.003839272169997477,0.9851427870373877,1.0005766611607776,0.015433874123389923,0.015161045079956456
111,2019-12-03,0.9914299845695496,3.093199951171875,,,,-0.00867909064285,0.992787257388786,,,,,0.0038473782291680806,0.9850925009304499,1.0005589614117056,0.015466460481255773,0.0151550714447389
112,2019-12-04,0.9868999719619751,3.112760009765625,,,,-0.0045691704689981355,0.992516886304926,,,,,0.003992368730253134,0.9845321488444196,1.0005814711400374,0.01604932229561773,0.015180941668052703
113,2019-12-05,0.9882500171661377,3.117429931640625,,,,0.0013679655917698359,0.9922757766864918,,,,,0.004045840668067067,0.9841840953503577,1.0004483748359874,0.016264279485629696,0.015211814289655226
114,2019-12-06,0.9869999885559082,3.145909912109375,,,,-0.001264891058453021,0.9920120724925289,,,,,0.004147795121602935,0.983716482249323,1.0003906186381668,0.016674136388843852,0.015258168251386558
115,2019-12-09,0.9904800057411194,3.1359599609375,,,,0.0035258533187045296,0.9920628137058682,,,,,0.004120271318560724,0.9838222710687468,1.000385761769361,0.016563490700614247,0.01529697085481955
116,2019-12-10,0.9877600073814392,3.13252001953125,,,,-0.0027461416120610703,0.992112813172517,,,,,0.004059108422954518,0.9839945963266079,1.000312212186885,0.016317615860277135,0.015331570491630754
117,2019-12-11,0.984470009803772,3.1416298828125,,,,-0.0033307661305189405,0.9920620719591776,,,,,0.004144861956846877,0.9837723480454839,1.0004346931120083,0.01666234506652442,0.015347801472041019
118,2019-12-12,0.9824000000953674,3.168570068359375,,,,-0.002102664060652434,0.9918439233744586,,,,,0.004479166072606235,0.9828855912292461,1.0008918388411232,0.01800624761187708,0.015401771217978399
119,2019-12-13,0.9849900007247925,3.168800048828125,,,,0.0026364012919112604,0.9915694793065389,,,,,0.004660044874536392,0.9822493895574661,1.0009827699531024,0.018733380395636323,0.01548441795822709
120,2019-12-16,0.983959972858429,3.191449951171875,,,,-0.0010457241856319276,0.9912542921525461,,,,,0.004871473413337505,0.9815113453258711,1.001094668447488,0.019583323121616814,0.015616621971287601
121,2019-12-17,0.9832000136375427,3.19252001953125,,,,-0.0007723476989399573,0.9908320705095927,,,,,0.005053814736402713,0.9807244410367872,1.001040776277126,0.020316335240338823,0.015772664473482717
122,2019-12-18,0.9797000288963318,3.191139892578125,,,,-0.003559789150390725,0.9901850355996026,,,,,0.005312660876009446,0.9795597138475837,1.0009166105691416,0.02135689672155794,0.015964517994908174
123,2019-12-19,0.9800099730491638,3.2053701171875,,,,0.0003163663812291552,0.9897035536942659,,,,,0.005615290507732081,0.9784729726788017,1.0010464405198847,0.02257346784108294,0.016224645877307695
124,2019-12-20,0.9782000184059143,3.221219970703125,,,,-0.0018468736982523671,0.9891679993382206,,,,,0.005985157244518112,0.9771976848491845,1.0012580169721472,0.02406033212296277,0.016541926612342123
125,2019-12-23,0.9822800159454346,3.224010009765625,,,,0.004170923597168883,0.9888942970169915,,,,,0.006123320866155912,0.9766476552846797,1.0012634051666265,0.024615749881946813,0.0168805501509474
